,Name,Lat,Lng,Address
0,Walmart Supercenter,41.3101375,-81.5195262,"8160 Macedonia Commons Blvd, Macedonia"
1,Walmart,41.5188409,-81.440421,"6594 Mayfield Rd, Mayfield Heights"
2,Walmart Supercenter,41.508716,-81.5401014,"1868 Warrensville Center Rd, South Euclid"
3,Walmart,41.1353696,-81.6321492,"3750 W Market St, Fairlawn"
4,Walmart Supercenter,41.4615191,-81.6928838,"3400 Steelyard Dr, Cleveland"
5,Walmart Supercenter,41.3823785,-81.7443922,"8303 W Ridgewood Dr, Parma"
6,Walmart Supercenter,41.4202646,-81.753893,"10000 Brookpark Rd, Cleveland"
7,Walmart Supercenter,41.3461124,-81.8198744,"8585 Pearl Rd, Strongsville"
8,Walmart Supercenter,40.9930386,-81.4890067,"2887 S Arlington Rd, Akron"
9,Walmart Supercenter,41.0518131,-81.7255315,"222 Smokerise Dr, Wadsworth"
10,Walmart Supercenter,41.1612897,-81.8590201,"4141 Pearl Rd, Medina"
11,Walmart Supercenter,41.4178357,-81.8966901,"24801 Brookpark Rd, North Olmsted"
12,Walmart Supercenter,41.4665404,-82.0172123,"35901 Chester Rd, Avon"
13,Giant Eagle Supermarket,41.313202,-81.529222,"290 E Aurora Rd, Northfield"
14,Giant Eagle Supermarket,41.389399,-81.525974,"900 Northfield Rd, Bedford"
15,Giant Eagle Supermarket,41.415647,-81.535532,"5321 Warrensville Center Rd, Maple Heights"
16,Giant Eagle Supermarket,41.404282,-81.612456,"5744 Transportation Blvd, Garfield Heights"
17,Giant Eagle Supermarket,41.315085,-81.656132,"4343 E Royalton Rd, Broadview Heights"
18,Giant Eagle Supermarket,41.250627,-81.664126,"4428 Broadview Rd, Richfield"
19,Giant Eagle Supermarket,41.364658,-81.68779,"7400 Broadview Rd, Parma"
20,Giant Eagle Supermarket,41.126281,-81.602143,"2775 W Market St, Fairlawn"
21,Giant Eagle Supermarket,41.314921,-81.726351,"6000 Royalton Rd, North Royalton"
22,Giant Eagle Supermarket,41.3784833,-81.7397306,"7939 Day Dr, Cleveland"
23,Giant Eagle Supermarket,41.4659271,-81.5057297,"24601 Chagrin Blvd, Beachwood"
24,Giant Eagle,41.383323,-81.4372121,"34310 Aurora Rd, Solon"
25,Giant Eagle Deli,41.4057152,-81.7979016,"14650 Snow Rd, Brook Park"
26,ALDI,41.3560724,-81.3882151,"7050 Aurora Rd, Aurora"
27,ALDI,41.3149541,-81.5252616,"371 E Aurora Rd, Macedonia"
28,ALDI,41.4306288,-81.5267072,"4650 Northfield Rd, North Randall"
29,ALDI,41.3673972,-81.683636,"7305 Broadview Rd, Seven Hills"
30,ALDI,41.4697878,-81.6083969,"10815 Kinsman Rd, Cleveland"
31,ALDI,41.5188465,-81.4944436,"5144 Mayfield Rd, Lyndhurst"
32,ALDI,41.1326032,-81.6376974,"120 S Cleveland Massillon Rd, Fairlawn"
33,ALDI,41.4558591,-81.689795,"3586 Steelyard Dr, Cleveland"
34,ALDI,41.5036341,-81.6365303,"7500 Euclid Ave, Cleveland"
35,ALDI,41.0652875,-81.5273946,"772 S Main St, Akron"
36,ALDI,41.4202558,-81.7593862,"5170 Tiedeman Rd, Brooklyn"
37,ALDI,41.3900048,-81.4357023,"6217 Som Center Rd, Solon"
38,ALDI,41.0562721,-81.5826107,"2100 Romig Rd, Akron"
39,ALDI,41.0360916,-81.4905068,"1333 S Arlington St, Akron"
40,ALDI,41.4781471,-81.7699211,"1600 W 117th St, Lakewood"
41,ALDI,41.3116279,-81.8339489,"14267 Pearl Rd, Strongsville"
42,Whole Foods Market,41.449988,-81.4850716,"50 Wall St, Orange"
43,Whole Foods Market,41.5008761,-81.5368584,"13998 Cedar Rd, University Heights"
44,Whole Foods Market 365,41.1109081,-81.5711638,"1745 W Market St, Akron"
45,Whole Foods Market,41.4787471,-81.8396406,"19607 Detroit Rd, Rocky River"
46,Whole Foods Market,41.463355,-81.486312,"27249 Chagrin Blvd, Woodmere"
47,Marc's Stores,41.3887631,-81.4354475,"6231 Som Center Rd, Solon"
48,Marc's Stores,41.3132527,-81.5581457,"550 W Aurora Rd, Northfield"
49,Marc's Stores,41.398374,-81.595173,"12650 Rockside Rd, Garfield Heights"
50,Marc's Stores,41.3188802,-81.6247427,"7510 Chippewa Rd, Brecksville"
51,Marc's Stores,41.150561,-81.510638,"2900 State Rd, Cuyahoga Falls"
