State_x,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,State_y,Latitude,Longitude
27,Minnesota,5527358.0,37.9,68411.0,36245.0,547442.0,9.904225490731738,2.156871329846918,,,
28,Mississippi,2988762.0,37.2,43567.0,23434.0,599795.0,20.06834267833973,3.6816581581270102,,,
29,Missouri,6090062.0,38.5,53560.0,29537.0,837930.0,13.758973225559936,2.5608606283482827,,,
30,Montana,1041732.0,39.8,52559.0,29765.0,139063.0,13.349210737502544,2.153432936686211,,,
31,Nebraska,1904760.0,36.4,59116.0,31101.0,213790.0,11.223986223986223,1.9186144186144185,,,
32,Nevada,2922849.0,37.9,57598.0,29961.0,393431.0,13.460531146152265,3.4811240676476958,,,
33,New Hampshire,1343622.0,42.7,74057.0,38548.0,102352.0,7.6176186457203,2.261945696036534,,,
34,New Jersey,8881845.0,39.8,79363.0,40895.0,904132.0,10.179551658467357,3.2097385171661967,,,
35,New Mexico,2092434.0,37.5,48059.0,26085.0,410389.0,19.612996156629073,3.2674865730532003,,,
36,New York,19618453.0,38.7,65323.0,37470.0,2797985.0,14.262006285612836,3.071781449842146,,,
37,North Carolina,10155624.0,38.6,52413.0,29456.0,1523949.0,15.005961228970273,3.0781958843690944,,,
38,North Dakota,752201.0,35.1,63473.0,35373.0,79270.0,10.538406622697922,1.5539729407432321,,,
39,Ohio,11641879.0,39.3,54533.0,30304.0,1645986.0,14.13849087419651,2.9482525973685174,Ohio,40.2862,-82.7937
40,Oklahoma,3918137.0,36.4,51424.0,27432.0,607810.0,15.51272964676835,2.5289314794250433,,,
41,Oregon,4081943.0,39.2,59393.0,32045.0,565247.0,13.847498605443535,3.0251524825309906,,,
42,Pennsylvania,12791181.0,40.7,59445.0,32889.0,1578949.0,12.344043915882358,2.9689596292945897,,,
44,Rhode Island,1056611.0,39.9,63296.0,34619.0,133055.0,12.592619232622035,3.263168753685131,,,
45,South Carolina,4955925.0,39.2,51015.0,27986.0,770632.0,15.549710699818904,3.0920968335880787,,,
46,South Dakota,864289.0,36.8,56499.0,29801.0,113144.0,13.090991554908138,1.8803895456265207,,,
47,Tennessee,6651089.0,38.7,50972.0,28511.0,1046508.0,15.734385752468505,2.8798892933172295,,,
48,Texas,27885195.0,34.4,59570.0,30143.0,4213938.0,15.111739401499612,2.664517856159873,,,
49,Utah,3045350.0,30.7,68374.0,28239.0,309904.0,10.176301574531664,1.9360007880867551,,,
50,Vermont,624977.0,42.9,60076.0,33238.0,67034.0,10.725834710717354,2.2205617166711735,,,
51,Virginia,8413774.0,38.1,71564.0,37763.0,893580.0,10.620442146413726,2.5870673493250473,,,
54,West Virginia,1829054.0,42.4,44921.0,25479.0,315464.0,17.247385807089348,2.938677589617365,,,
53,Washington,7294336.0,37.6,70116.0,36888.0,821621.0,11.263821683015424,2.7189589292294736,,,
55,Wisconsin,5778394.0,39.3,59209.0,32018.0,668220.0,11.564112796739025,2.1596312054871993,,,
56,Wyoming,581836.0,37.3,62268.0,32295.0,63311.0,10.88124488687534,2.3520373438563444,,,
72,Puerto Rico,3386941.0,40.9,20166.0,12451.0,1495160.0,44.144849290259266,6.198808895696736,,,
01,Alabama,4864680.0,38.9,48486.0,26846.0,829400.0,17.049425655952703,3.040241084716775,,,
02,Alaska,738516.0,34.0,76715.0,35874.0,77865.0,10.543441171213622,3.800459299459998,,,
04,Arizona,6946685.0,37.4,56213.0,29265.0,1092192.0,15.72249209515042,3.0261052573997524,,,
05,Arkansas,2990671.0,37.9,45726.0,25635.0,510337.0,17.06429761080373,2.533678896809445,,,
06,California,39148760.0,36.3,71228.0,35021.0,5487141.0,14.016129757366517,3.375590951028845,,,
08,Colorado,5531141.0,36.6,68811.0,36415.0,590504.0,10.675988914403014,2.51893777432179,,,
09,Connecticut,3581504.0,40.8,76106.0,43056.0,348449.0,9.72912497096192,3.515534255999714,,,
10,Delaware,949495.0,40.2,65627.0,33989.0,109798.0,11.563831299796208,3.0017009041648457,,,
11,District of Columbia,684498.0,33.9,82604.0,53321.0,109497.0,15.996686622897364,4.291173969828984,,,
12,Florida,20598139.0,41.9,53267.0,30197.0,2983851.0,14.486022256670857,3.0244382757102475,,,
13,Georgia,10297484.0,36.5,55679.0,29523.0,1607714.0,15.61268752638994,3.1352707127294397,,,
16,Idaho,1687809.0,36.1,53089.0,26772.0,228882.0,13.560894627294912,2.2320061096960617,,,
15,Hawaii,1422029.0,38.9,78084.0,34035.0,137516.0,9.670407565527848,2.2528373190701454,,,
17,Illinois,12821497.0,37.9,63575.0,34463.0,1635603.0,12.75672411731641,3.4094224722744935,,,
18,Indiana,6637426.0,37.6,54325.0,28461.0,908359.0,13.685410579342053,2.7264936739031063,,,
19,Iowa,3132499.0,38.1,58580.0,31085.0,353634.0,11.28919753845093,2.0819160676507797,,,
20,Kansas,2908776.0,36.5,57422.0,30757.0,350280.0,12.04217856582975,2.2359232886960014,,,
21,Kentucky,4440204.0,38.7,48392.0,26948.0,772080.0,17.38839026315007,2.890813124802374,,,
22,Louisiana,4663616.0,36.6,47942.0,27027.0,878394.0,18.835041307002978,3.2131719249612316,,,
23,Maine,1332813.0,44.6,55425.0,31253.0,161743.0,12.13546086360202,2.416167909526693,,,
24,Maryland,6003435.0,38.6,81868.0,40517.0,553496.0,9.219655080799576,3.016423097776523,,,
25,Massachusetts,6830193.0,39.4,77378.0,41794.0,710305.0,10.399486515241955,2.9788909332430284,,,
26,Michigan,9957488.0,39.7,54938.0,30336.0,1457008.0,14.632284769010015,3.223784954598991,,,
