,Name,Lat,Lng,Address
0,Walmart Supercenter,40.7656081,-81.5226132,"1 Massillon Marketplace Dr SW, Massillon"
1,Walmart Supercenter,40.847628,-81.941624,"3883 Burbank Rd, Wooster"
2,Walmart,40.871104,-81.433181,"4572 Mega St NW, North Canton"
3,Walmart,41.1348947,-81.6326569,"3750 W Market St, Fairlawn"
4,Walmart Supercenter,41.0526105,-81.7249695,"222 Smokerise Dr, Wadsworth"
5,Walmart Supercenter,41.3508768,-82.0672824,"1000 Chestnut Commons Dr, Elyria"
6,Walmart Supercenter,41.3461111,-81.82,"8585 Pearl Rd, Strongsville"
7,Walmart Supercenter,40.7941667,-81.4222222,"4004 Tuscarawas St W, Canton"
8,Walmart Supercenter,41.4664845,-82.0158237,"35901 Chester Rd, Avon"
9,Walmart Supercenter,40.8347279,-81.3288031,"3200 Atlantic Blvd NE, Canton"
10,Walmart Supercenter,41.0977816,-81.383707,"250 Tallmadge Rd, Kent"
11,Walmart Supercenter,41.1619311,-81.8596219,"4141 Pearl Rd, Medina"
12,Walmart Supercenter,41.1658333,-81.48,"3520 Hudson Dr, Stow"
13,Walmart Supercenter,41.4179807,-81.8974382,"24801 Brookpark Rd, North Olmsted"
14,Walmart Supercenter,41.4615191,-81.6928838,"3400 Steelyard Dr, Cleveland"
15,Walmart Supercenter,41.1560756,-81.2995613,"2600 OH-59, Ravenna"
16,Walmart Supercenter,41.4202778,-81.7538889,"10000 Brookpark Rd, Cleveland"
17,Walmart Supercenter,41.3101348,-81.51902,"8160 Macedonia Commons Blvd, Macedonia"
18,Walmart Supercenter,41.4300606,-82.2078954,"4380 N Leavitt Rd, Lorain"
19,Walmart Supercenter,41.508916,-81.5398747,"1868 Warrensville Center Rd, South Euclid"
20,Walmart Supercenter,41.252609,-81.3620691,"905 Singletary Dr, Streetsboro"
21,Walmart Supercenter,41.3502159,-81.3895111,"7235 Market Pl Dr, Bainbridge Township"
22,Walmart,41.518883,-81.440232,"6594 Mayfield Rd, Mayfield Heights"
23,Walmart,41.6787655,-81.3076975,"9303 Mentor Ave, Mentor"
24,Walmart Supercenter,41.6406366,-81.4469154,"33752 Vine St, Eastlake"
25,Walmart Supercenter,41.2742899,-80.7719395,"2016 Millennium Blvd, Cortland"
26,Walmart Supercenter,41.5861616,-81.2258874,"223 Meadowlands Dr, Chardon"
27,Walmart Supercenter,41.8834738,-80.7496195,"3551 N Ridge Rd E, Ashtabula"
28,Walmart Supercenter,41.804645,-81.071979,"6067 N Ridge Rd, Madison"
29,Walmart Supercenter,41.4587067,-81.0854521,"15050 S, Springdale Ave, Middlefield"
30,Walmart Money Center,41.3504277,-81.3893263,"7355 Market Pl Dr, Aurora"
31,Walmart Money Center,41.8041285,-81.0718057,Madison
32,Walmart Supercenter,40.8999983,-81.1606038,"2700 W State St, Alliance"
33,Walmart Supercenter,40.9001061,-80.8178732,"2875 E State St, Salem"
34,Walmart Supercenter,41.0974887,-80.7740295,"6001 Mahoning Ave, Austintown"
35,Walmart Supercenter,41.1473517,-80.66165,"200 Goldie Rd, Youngstown"
36,Walmart Supercenter,41.028956,-80.6307379,"1300 Doral Dr, Poland"
37,Giant Eagle Market District,40.9623233,-81.4689962,"1700 Corporate Woods Pkwy, Uniontown"
38,Giant Eagle Supermarket,41.150631,-81.8610563,"870 N Court St, Medina"
39,Giant Eagle Supermarket,41.044898,-81.696098,"825 Ambassador Dr, Wadsworth"
40,Giant Eagle Supermarket,41.0091667,-81.5872222,"41 5th St SE, Barberton"
41,Giant Eagle Supermarket,41.2369789,-81.8100517,"3440 Center Rd, Brunswick"
42,Giant Eagle Deli,41.3784411,-81.7397128,"7939 Day Dr, Parma"
43,Giant Eagle Supermarket,41.126281,-81.602143,"2775 W Market St, Fairlawn"
44,Giant Eagle Supermarket,41.3676622,-81.8556686,"50 W Bridge St, Berea"
45,Giant Eagle Supermarket,41.1329427,-81.6359561,"3750 W Market St, Akron"
46,Giant Eagle Supermarket,41.3769188,-81.7876739,"6869 Southland Dr, Middleburg Heights"
47,Giant Eagle Supermarket,41.1173056,-81.4834417,"230 Howe Ave, Cuyahoga Falls"
48,Giant Eagle Supermarket,40.881632,-81.569617,"2275 Locust St, Canal Fulton"
49,Giant Eagle Supermarket,41.1000022,-81.4499402,"205 West Ave, Tallmadge"
50,Giant Eagle Deli,41.4057152,-81.7979016,"14650 Snow Rd, Brook Park"
51,Giant Eagle Supermarket,41.0275176,-81.5093967,"484 E Waterloo Rd, Akron"
52,Giant Eagle Supermarket,41.314921,-81.726351,"6000 Royalton Rd, North Royalton"
53,Giant Eagle Supermarket,41.3784833,-81.7397306,"7939 Day Dr, Cleveland"
54,Giant Eagle Supermarket,41.315085,-81.656132,"4343 E Royalton Rd, Broadview Heights"
55,Giant Eagle Supermarket,41.313202,-81.529222,"290 E Aurora Rd, Northfield"
56,Giant Eagle Supermarket,41.404282,-81.612456,"5744 Transportation Blvd, Garfield Heights"
57,Giant Eagle Supermarket,41.202155,-81.433934,"1700 Norton Rd, Stow"
58,Giant Eagle Supermarket,41.415647,-81.535532,"5321 Warrensville Center Rd, Maple Heights"
59,Giant Eagle Supermarket,41.503452,-81.499514,"25105 Cedar Rd, Lyndhurst"
60,Giant Eagle Supermarket,41.2373732,-81.3472786,"1280 OH-303, Streetsboro"
61,Giant Eagle Supermarket,41.4659271,-81.5057297,"24601 Chagrin Blvd, Beachwood"
62,Giant Eagle Supermarket,41.309497,-81.442126,"8960 Darrow Rd, Twinsburg"
63,Giant Eagle Supermarket,41.389399,-81.525974,"900 Northfield Rd, Bedford"
64,Giant Eagle Supermarket,41.52176,-81.5216303,"4401 Mayfield Rd, South Euclid"
65,Giant Eagle Supermarket,41.3903732,-81.3374812,"8515 Tanglewood Square, Chagrin Falls"
