,Name,Lat,Lng,Address
0,Walmart Supercenter,40.7656081,-81.52261320000001,"1 Massillon Marketplace Dr SW, Massillon"
1,Walmart Supercenter,40.847628,-81.94162399999999,"3883 Burbank Rd, Wooster"
2,Walmart,40.871104,-81.43318099999999,"4572 Mega St NW, North Canton"
3,Walmart,41.1348947,-81.6326569,"3750 W Market St, Fairlawn"
4,Walmart Supercenter,41.0526105,-81.7249695,"222 Smokerise Dr, Wadsworth"
5,Walmart Supercenter,41.35087679999999,-82.0672824,"1000 Chestnut Commons Dr, Elyria"
6,Walmart Supercenter,41.3461111,-81.82,"8585 Pearl Rd, Strongsville"
7,Walmart Supercenter,40.79416670000001,-81.4222222,"4004 Tuscarawas St W, Canton"
8,Walmart Supercenter,41.4664845,-82.0158237,"35901 Chester Rd, Avon"
9,Walmart Supercenter,40.8347279,-81.3288031,"3200 Atlantic Blvd NE, Canton"
11,Walmart Supercenter,41.0977816,-81.383707,"250 Tallmadge Rd, Kent"
12,Walmart Supercenter,41.1619311,-81.8596219,"4141 Pearl Rd, Medina"
13,Walmart Supercenter,41.1658333,-81.47999999999999,"3520 Hudson Dr, Stow"
14,Walmart Supercenter,41.4179807,-81.8974382,"24801 Brookpark Rd, North Olmsted"
15,Walmart Supercenter,41.4615191,-81.69288379999999,"3400 Steelyard Dr, Cleveland"
16,Walmart Supercenter,41.15607560000001,-81.2995613,"2600 OH-59, Ravenna"
17,Walmart Supercenter,41.4202778,-81.75388889999999,"10000 Brookpark Rd, Cleveland"
18,Walmart Supercenter,41.3101348,-81.51902,"8160 Macedonia Commons Blvd, Macedonia"
19,Walmart Supercenter,41.4300606,-82.2078954,"4380 N Leavitt Rd, Lorain"
20,Walmart Supercenter,41.508916,-81.5398747,"1868 Warrensville Center Rd, South Euclid"
21,Walmart Supercenter,41.252609,-81.3620691,"905 Singletary Dr, Streetsboro"
22,Walmart Supercenter,41.35021589999999,-81.38951109999999,"7235 Market Pl Dr, Bainbridge Township"
23,Walmart,41.518883,-81.440232,"6594 Mayfield Rd, Mayfield Heights"
24,Walmart,41.6787655,-81.30769750000002,"9303 Mentor Ave, Mentor"
25,Walmart Supercenter,41.6406366,-81.4469154,"33752 Vine St, Eastlake"
26,Walmart Supercenter,41.2742899,-80.7719395,"2016 Millennium Blvd, Cortland"
27,Walmart Supercenter,41.5861616,-81.2258874,"223 Meadowlands Dr, Chardon"
28,Walmart Supercenter,41.8834738,-80.7496195,"3551 N Ridge Rd E, Ashtabula"
29,Walmart Supercenter,41.804645,-81.071979,"6067 N Ridge Rd, Madison"
30,Walmart Supercenter,41.4587067,-81.0854521,"15050 S, Springdale Ave, Middlefield"
31,Walmart Connection Center,41.4587419,-81.08542249999999,"15050 Springdale Ave, Middlefield"
32,Walmart Money Center,41.3504277,-81.38932630000001,"7355 Market Pl Dr, Aurora"
33,Walmart Money Center,41.8041285,-81.0718057,Madison
34,Walmart Supercenter,40.8999983,-81.16060379999999,"2700 W State St, Alliance"
35,Walmart Supercenter,40.9001061,-80.8178732,"2875 E State St, Salem"
36,Walmart Supercenter,41.0974887,-80.7740295,"6001 Mahoning Ave, Austintown"
37,Walmart Supercenter,41.1473517,-80.66165,"200 Goldie Rd, Youngstown"
38,Walmart Supercenter,41.028956,-80.6307379,"1300 Doral Dr, Poland"
39,ATM Wal-mart,41.0974584,-80.7740379,"6001 Mahoning Ave, Youngstown"
40,Giant Eagle Market District,40.9623233,-81.46899619999999,"1700 Corporate Woods Pkwy, Uniontown"
41,Giant Eagle Supermarket,41.150631,-81.8610563,"870 N Court St, Medina"
42,Giant Eagle Supermarket,41.044898,-81.69609799999999,"825 Ambassador Dr, Wadsworth"
43,Giant Eagle Supermarket,41.0091667,-81.5872222,"41 5th St SE, Barberton"
44,Giant Eagle Supermarket,41.2369789,-81.8100517,"3440 Center Rd, Brunswick"
45,Giant Eagle Deli,41.3784411,-81.73971279999999,"7939 Day Dr, Parma"
46,Giant Eagle Supermarket,41.126281,-81.602143,"2775 W Market St, Fairlawn"
47,Giant Eagle Supermarket,41.3676622,-81.8556686,"50 W Bridge St, Berea"
48,Giant Eagle Supermarket,41.1329427,-81.6359561,"3750 W Market St, Akron"
49,Giant Eagle Supermarket,41.3769188,-81.7876739,"6869 Southland Dr, Middleburg Heights"
50,Giant Eagle Supermarket,41.1173056,-81.4834417,"230 Howe Ave, Cuyahoga Falls"
51,Giant Eagle Supermarket,40.881632,-81.569617,"2275 Locust St, Canal Fulton"
52,Giant Eagle Supermarket,41.1000022,-81.4499402,"205 West Ave, Tallmadge"
53,Giant Eagle Deli,41.4057152,-81.7979016,"14650 Snow Rd, Brook Park"
54,Giant Eagle Supermarket,41.0275176,-81.5093967,"484 E Waterloo Rd, Akron"
55,Giant Eagle Supermarket,41.032131,-81.426042,"2801 E Waterloo Rd, Akron"
56,Giant Eagle Supermarket,41.314921,-81.726351,"6000 Royalton Rd, North Royalton"
57,Giant Eagle Supermarket,41.3784833,-81.7397306,"7939 Day Dr, Cleveland"
58,Giant Eagle Supermarket,41.315085,-81.656132,"4343 E Royalton Rd, Broadview Heights"
59,Giant Eagle Supermarket,41.313202,-81.52922199999999,"290 E Aurora Rd, Northfield"
60,Giant Eagle Supermarket,41.40428199999999,-81.612456,"5744 Transportation Blvd, Garfield Heights"
61,Giant Eagle Supermarket,41.202155,-81.433934,"1700 Norton Rd, Stow"
62,Giant Eagle Supermarket,41.415647,-81.53553199999999,"5321 Warrensville Center Rd, Maple Heights"
63,Giant Eagle Supermarket,41.503452,-81.49951399999999,"25105 Cedar Rd, Lyndhurst"
64,Giant Eagle Supermarket,41.2373732,-81.34727860000001,"1280 OH-303, Streetsboro"
65,Giant Eagle Supermarket,41.46592709999999,-81.5057297,"24601 Chagrin Blvd, Beachwood"
66,Giant Eagle Supermarket,41.309497,-81.442126,"8960 Darrow Rd, Twinsburg"
67,Giant Eagle Supermarket,41.389399,-81.52597399999999,"900 Northfield Rd, Bedford"
